Name,Type,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
Conv_155,Conv,1966080,0.11%,791552,0.92%,1280,0.06%,1x128x32x48,1x128x32x48
Conv_163,Conv,1966080,0.11%,791552,0.92%,1280,0.06%,1x128x32x48,1x128x32x48
Conv_136,Conv,12632064,0.73%,328192,0.38%,32896,1.44%,1x256x16x24,1x128x16x24
Conv_138,Conv,12632064,0.73%,328192,0.38%,32896,1.44%,1x256x16x24,1x128x16x24
LeakyRelu_156,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x128x32x48,1x128x32x48
LeakyRelu_164,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x128x32x48,1x128x32x48
LeakyRelu_137,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
LeakyRelu_139,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_157,Conv,25362432,1.47%,852480,0.99%,16512,0.72%,1x128x32x48,1x128x32x48
Conv_165,Conv,25362432,1.47%,852480,0.99%,16512,0.72%,1x128x32x48,1x128x32x48
Conv_140,Conv,6340608,0.37%,262656,0.30%,16512,0.72%,1x128x16x24,1x128x16x24
LeakyRelu_158,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x128x32x48,1x128x32x48
LeakyRelu_166,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x128x32x48,1x128x32x48
LeakyRelu_141,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_159,Conv,1966080,0.11%,791552,0.92%,1280,0.06%,1x128x32x48,1x128x32x48
Conv_167,Conv,1966080,0.11%,791552,0.92%,1280,0.06%,1x128x32x48,1x128x32x48
Conv_142,Conv,56672256,3.29%,786944,0.91%,147584,6.45%,1x128x16x24,1x128x16x24
LeakyRelu_160,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x128x32x48,1x128x32x48
LeakyRelu_168,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x128x32x48,1x128x32x48
LeakyRelu_143,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_161,Conv,25362432,1.47%,852480,0.99%,16512,0.72%,1x128x32x48,1x128x32x48
Conv_169,Conv,25362432,1.47%,852480,0.99%,16512,0.72%,1x128x32x48,1x128x32x48
Conv_144,Conv,6340608,0.37%,262656,0.30%,16512,0.72%,1x128x16x24,1x128x16x24
LeakyRelu_162,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x128x32x48,1x128x32x48
LeakyRelu_170,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x128x32x48,1x128x32x48
LeakyRelu_145,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_171,Conv,198144,0.01%,6660,0.01%,129,0.01%,1x128x32x48,1x1x32x48
Conv_172,Conv,792576,0.05%,26640,0.03%,516,0.02%,1x128x32x48,1x4x32x48
