Name           Type       MACs           CPercent    Memory      MPercent    Params     PPercent    InShape       OutShape
LeakyRelu_96   LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_97        Conv       56,672,256     3.29%       786,944     0.91%       147,584    6.45%       1x128x16x24   1x128x16x24
LeakyRelu_98   LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Add_99         Add        49,152         0.00%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_100       Conv       6,340,608      0.37%       262,656     0.30%       16,512     0.72%       1x128x16x24   1x128x16x24
LeakyRelu_101  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_102       Conv       56,672,256     3.29%       786,944     0.91%       147,584    6.45%       1x128x16x24   1x128x16x24
LeakyRelu_103  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Add_104        Add        49,152         0.00%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_105       Conv       6,340,608      0.37%       262,656     0.30%       16,512     0.72%       1x128x16x24   1x128x16x24
LeakyRelu_106  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_107       Conv       56,672,256     3.29%       786,944     0.91%       147,584    6.45%       1x128x16x24   1x128x16x24
LeakyRelu_108  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Add_109        Add        49,152         0.00%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_111       Conv       25,264,128     1.47%       656,384     0.76%       65,792     2.88%       1x256x16x24   1x256x16x24
LeakyRelu_112  LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x256x16x24   1x256x16x24
Conv_113       Conv       12,632,064     0.73%       328,192     0.38%       32,896     1.44%       1x256x16x24   1x128x16x24
LeakyRelu_114  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Resize_116     Resize     786,432        0.05%       786,448     0.91%       4          0.00%       1x128x16x24   1x128x32x48
Conv_118       Conv       25,264,128     1.47%       459,008     0.53%       16,448     0.72%       1x256x32x48   1x64x32x48
Conv_120       Conv       25,264,128     1.47%       459,008     0.53%       16,448     0.72%       1x256x32x48   1x64x32x48
LeakyRelu_119  LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x64x32x48    1x64x32x48
LeakyRelu_121  LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x64x32x48    1x64x32x48
